"466025606,2026-09-16T09:43:24Z,1405/06/25 13:13,فرزين فتح الهى,farzin_fat,quote,خودشون رنج میزنن میخرن دیگه"
"a0e26e07-4796-42c1-87b4-531b65dafc08,,,,,all,"
"466025593,2026-09-16T09:43:11Z,1405/06/25 13:13,reza57,milad57,twit,#فزر طلا همیشه طلاس ..."
"466015864,2026-09-16T04:50:32Z,1405/06/25 08:20,پرواز,bahamtaizadeh,retwit,#نهال ببخشید کسی میدونه این دوتا صندوق   نهال و سافرون  برای چی  وارد بورس شدن..  \nیعنی سه چهار بار بازار چنان رشد کرده که هر سهمی چند برابر شده\nاما این دوتا نهایتا یکی چند درصد سریع هم سودش رو ازت میگیره \nمعلوم نیست متعل به کی هست گه بورس و ناطر هم زورش بهشون نمیرسه"
"466025569,2026-09-16T09:42:51Z,1405/06/25 13:12,vahed,vahedm68,twit,#ارفع سلام دوستان\nبريد تو سایت ذینفعان، از محل مطالبات پول حق تقدم رو واریز کنید از امروز فعال شده"
"466025559,2026-09-16T09:42:43Z,1405/06/25 13:12,وحید رستمی,rostamivahiddd,twit,#دانا ۱۶ سال میوه نداده فقط باید از ریشه درآوردش"
"466025535,2026-09-16T09:42:02Z,1405/06/25 13:12,مسعود,mgh5151,twit,#عیار \nکف دلار ۲۳۰\nمجدد هفته آینده استارت دلار"
"466025532,2026-09-16T09:41:56Z,1405/06/25 13:11,وحید رستمی,rostamivahiddd,twit,#دانا این سهم دقیقا یک شیره البته شیر توالت عمومی متروکه"
"466025504,2026-09-16T09:40:44Z,1405/06/25 13:10,امید به خدا,m4411,twit,#دارا_یکم"
"466025489,2026-09-16T09:39:59Z,1405/06/25 13:09,MOHSEN.SH,golnardeh,twit,#شلرد متاسفانه با این حجمی که خورد سهم شنبه منفی خواهد بود \nشلرد به شدت تحت باند بازی است \nتجربه چندین ساله سهامداری در شلرد"
"466025482,2026-09-16T09:39:54Z,1405/06/25 13:09,ali,24592459ka,twit,#خپارس بخشی از افزایش سرمایه از طریق حق تقدم هست"
